no;year;winner;gender;age;country;time;marathon
72;1994;Katrin Dörre-Heinig;Female;26;Germany;04/05/2018 2:25;Berlin
73;1993;Xolile Yawa;Male;26;South Africa;04/05/2018 2:10;Berlin
74;1993;Renata Kokowska;Female;24;Poland;04/05/2018 2:26;Berlin
75;1992;David Tsebe;Male;26;South Africa;04/05/2018 2:08;Berlin
76;1992;Uta Pippig;Female;26;Germany;04/05/2018 2:30;Berlin
77;1991;Steve Brace;Male;26;United Kingdom;04/05/2018 2:10;Berlin
78;1991;Renata Kokowska;Female;26;Poland;04/05/2018 2:27;Berlin
79;1990;Steve Moneghetti;Male;26;Australia;04/05/2018 2:08;Berlin
80;1990;Uta Pippig;Female;26;Germany;04/05/2018 2:28;Berlin
81;1989;Alfredo Shahanga;Male;26;Tanzania;04/05/2018 2:10;Berlin
82;1989;Päivi Tikkanen;Female;27;Finland;04/05/2018 2:28;Berlin
83;1988;Suleiman Nyambui;Male;27;Tanzania;04/05/2018 2:11;Berlin
84;1988;Renata Kokowska;Female;27;Poland;04/05/2018 2:29;Berlin
85;1987;Suleiman Nyambui;Male;27;Tanzania;04/05/2018 2:11;Berlin
86;1987;Kerstin Preßler;Female;27;Germany;04/05/2018 2:31;Berlin
87;1986;Boguslaw Psujek;Male;27;Poland;04/05/2018 2:11;Berlin
88;1986;Charlotte Teske;Female;27;Germany;04/05/2018 2:32;Berlin
89;1985;Jimmy Ashworth;Male;27;United Kingdom;04/05/2018 2:11;Berlin
90;1985;Magda Ilands;Female;27;Belgium;04/05/2018 2:34;Berlin
91;1984;John Skovbjerg;Male;27;Denmark;04/05/2018 2:13;Berlin
92;1984;Ágnes Sipka;Female;27;Hungary;04/05/2018 2:39;Berlin
93;1983;Karel Lismont;Male;27;Belgium;04/05/2018 2:13;Berlin
94;1983;Karen Holdsworth;Female;27;United Kingdom;04/05/2018 2:40;Berlin
95;1982;Domingo Tibaduiza;Male;27;Colombia;04/05/2018 2:14;Berlin
96;1982;Jean Lochhead;Female;27;United Kingdom;04/05/2018 2:47;Berlin
97;1981;Ian Ray;Male;27;United Kingdom;04/05/2018 2:15;Berlin
98;1981;Angelika Stephan;Female;28;Germany;04/05/2018 2:47;Berlin
99;1980;Ingo Sensburg;Male;28;Germany;04/05/2018 2:16;Berlin
100;1980;Gerlinde Püttmann;Female;28;Germany;04/05/2018 2:47;Berlin
101;1979;Ingo Sensburg;Male;28;Germany;04/05/2018 2:21;Berlin
102;1979;Jutta von Haase;Female;28;Germany;04/05/2018 3:07;Berlin
103;1978;Michael Spöttel;Male;28;Germany;04/05/2018 2:20;Berlin
104;1978;Ursula Blaschke;Female;28;Germany;04/05/2018 2:57;Berlin
105;1977;Günter Mielke;Male;28;Germany;04/05/2018 2:15;Berlin
106;1977;Christa Vahlensieck;Female;28;Germany;04/05/2018 2:34;Berlin
107;1976;Ingo Sensburg;Male;28;Germany;04/05/2018 2:23;Berlin
108;1976;Jutta von Haase;Female;28;Germany;04/05/2018 3:05;Berlin
109;1975;Ralf Bochröder;Male;28;Germany;04/05/2018 2:47;Berlin
110;1975;Christin Bochröder;Female;28;Germany;04/05/2018 2:59;Berlin
111;1974;Günter Hallas;Male;28;Germany;04/05/2018 2:44;Berlin
112;1974;Jutta von Haase;Female;28;Germany;04/05/2018 3:22;Berlin
113;2018;Yuki Kawauchi;Male;28;Japan;04/05/2018 2:15;Boston
114;2018;Desi Linden;Female;28;United States;04/05/2018 2:39;Boston
115;2017;Geoffrey Kirui;Male;28;Kenya;04/05/2018 2:09;Boston
116;2017;Edna Kiplagat;Female;28;Kenya;04/05/2018 2:21;Boston
117;2016;Lemi Berhanu Hayle;Male;28;Ethiopia;04/05/2018 2:12;Boston
118;2016;Atsede Baysa;Female;28;Ethiopia;04/05/2018 2:29;Boston
119;2015;Lelisa Desisa Benti;Male;28;Ethiopia;04/05/2018 2:09;Boston
120;2015;Caroline Rotich;Female;28;Kenya;04/05/2018 2:24;Boston
121;2014;Meb Keflezighi;Male;29;United States;04/05/2018 2:08;Boston
122;2014;Rita Jeptoo;Female;22;Kenya;04/05/2018 2:18;Boston
123;2014;Bizunesh Deba;Female;21;Ethiopia;04/05/2018 2:19;Boston
124;2013;Lelisa Desisa Benti;Male;29;Ethiopia;04/05/2018 2:10;Boston
125;2013;Rita Jeptoo;Female;29;Kenya;04/05/2018 2:26;Boston
126;2012;Wesley Korir;Male;25;Kenya;04/05/2018 2:12;Boston
127;2012;Sharon Cherop;Female;29;Kenya;04/05/2018 2:31;Boston
128;2011;Geoffrey Mutai;Male;29;Kenya;04/05/2018 2:03;Boston
129;2011;Caroline Kilel;Female;29;Kenya;04/05/2018 2:22;Boston
130;2010;Robert Kiprono Cheruiyot;Male;29;Kenya;04/05/2018 2:05;Boston
131;2010;Teyba Erkesso;Female;29;Ethiopia;04/05/2018 2:26;Boston
132;2009;Deriba Merga;Male;29;Ethiopia;04/05/2018 2:08;Boston
133;2009;Salina Kosgei;Female;29;Kenya;04/05/2018 2:32;Boston
134;2008;Robert Kipkoech Cheruiyot;Male;29;Kenya;04/05/2018 2:07;Boston
135;2008;Dire Tune;Female;29;Ethiopia;04/05/2018 2:25;Boston
136;2007;Robert Kipkoech Cheruiyot;Male;24;Kenya;04/05/2018 2:14;Boston
137;2007;Lidiya Grigoryeva;Female;29;Russia;04/05/2018 2:29;Boston
138;2006;Robert Kipkoech Cheruiyot;Male;29;Kenya;04/05/2018 2:07;Boston
139;2006;Rita Jeptoo;Female;29;Kenya;04/05/2018 2:23;Boston
140;2005;Hailu Negussie;Male;29;Ethiopia;04/05/2018 2:11;Boston
141;2005;Catherine Ndereba;Female;22;Kenya;04/05/2018 2:25;Boston
142;2004;Timothy Cherigat;Male;29;Kenya;04/05/2018 2:10;Boston
143;2004;Catherine Ndereba;Female;22;Kenya;04/05/2018 2:24;Boston
